	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-145-5p	6.24	7.077	7.385	7.139	8.679	7.929	7.602	8.127	7.355	7.221	7.044	6.932	8.057	7.929	8.163	7.734	8.017	7.654	7.221	7.773	7.889	8.357	8.243	8.243	7.623	8.597	7.55	7.254
hsa-miR-186-5p	1.32	2.999	3.497	2.359	3.89	2.882	3.876	4.176	2.697	2.734	3.3	3.497	3.876	3.542	3.554	3.096	4.073	3.825	3.131	3.673	3.131	3.195	2.932	3.863	3.721	3.834	2.942	3.025
hsa-miR-4665-3p	4.719	4.701	4.553	4.019	4.583	4.701	4.264	4.213	3.517	4.501	4.862	4.6	3.825	3.963	4.264	4.484	4.553	4.553	4.213	4.42	4.13	4.199	4.79	3.847	4.264	4.008	4.484	4.141
hsa-miR-650	4.099	3.8	4.226	3.517	4.059	NA	4.448	3.755	2.761	3.649	4.084	4.306	4.553	4.822	4.515	3.599	4.141	4.226	3.89	4.484	4.571	4.484	5.082	3.952	4.323	3.876	4.306	4.213
hsa-miR-29a-3p	9.374	9.873	9.727	9.48	9.957	9.957	9.65	10.324	9.727	9.65	9.873	9.873	10.62	9.65	10.01	9.727	10.157	9.784	9.873	9.527	9.873	9.957	9.784	9.873	9.873	9.957	9.957	9.65
hsa-miR-1268b	7.483	6.414	5.983	7.111	5.891	5.468	6.339	5.802	6.564	5.868	6.32	6.223	6.041	6.119	5.868	6.272	5.557	6.203	6.362	6.529	6.339	6.294	7.003	6.24	6.064	6.005	6.223	6.39
hsa-miR-590-5p	1.85	3.155	2.882	1.371	3.048	3.119	3.567	3.319	2.126	3.166	3.037	3.684	3.731	3.28	2.464	3.073	3.762	3.697	2.882	3.404	3.61	3.177	2.844	3.577	3.928	3.742	3.096	2.882
hsa-miR-101-3p	5.269	5.868	5.891	4.849	5.962	5.826	6.803	5.983	4.79	6.005	6.466	6.119	6.841	7.139	6.498	6.633	7.003	7.315	5.983	6.138	6.529	6.968	6.657	7.281	7.221	7.254	6.466	6.529
hsa-miR-1260b	6.498	7.221	7.51	5.826	7.51	6.39	8.816	7.55	7.182	7.003	7.929	7.602	7.355	8.127	7.355	7.574	7.602	8.357	7.889	8.163	7.221	7.773	9.374	8.163	8.439	7.678	6.968	8.096
hsa-miR-342-5p	NA	1.258	2.112	NA	0.297	2.557	NA	2.256	2.098	0.829	1.671	2.538	2.321	0.543	NA	NA	2.321	1.497	1.671	NA	1.397	NA	NA	1.142	NA	0.726	2.21	NA
hsa-miR-451a	10.324	10.157	9.873	10.01	8.816	10.242	9.285	10.242	11.563	10.495	10.073	10.157	10.073	10.767	9.65	10.495	9.48	9.727	9.784	9.329	10.495	9.169	9.65	10.242	10.01	10.073	9.65	10.62
hsa-miR-532-5p	2.044	3.48	3.673	2.464	3.416	4.141	3.788	3.762	3.015	1.737	2.823	3.471	3.497	3.29	3.517	2.712	3.721	3.459	2.792	3.358	2.519	2.858	NA	3.387	2.823	3.673	2.976	2.712
hsa-miR-23b-5p	NA	-0.408	1.645	NA	-0.623	NA	1.32	NA	NA	-0.189	NA	1.371	NA	0.319	NA	NA	1.023	1.157	NA	2.505	NA	NA	NA	0.737	NA	0.103	NA	1.671
hsa-miR-374c-5p	NA	0.43	NA	-0.43	0.485	NA	2.245	2.427	NA	NA	NA	NA	2.087	0.792	2.197	NA	2.271	1.671	NA	NA	NA	0.601	NA	1.976	NA	1.497	NA	NA
hsa-miR-505-5p	NA	0.495	1.603	NA	-0.703	1.914	NA	1.09	NA	-0.309	1.023	0.863	NA	1.427	NA	NA	1.737	NA	1.371	2.557	0.708	0.029	NA	1.645	1.914	1.05	2.393	NA
hsa-miR-3196	6.759	6.119	5.936	6.223	5.638	5.746	6.272	5.638	5.614	5.663	6.294	6.24	5.681	5.868	5.539	6.041	5.335	6.138	5.724	6.39	6.005	5.936	6.968	5.891	5.936	5.826	5.746	6.064
hsa-miR-22-5p	NA	1.238	2.256	-0.337	0.237	2.098	2.823	2.21	NA	NA	1.659	NA	NA	2.624	2.302	1.157	2.359	2.413	NA	NA	NA	0.383	NA	3.166	2.669	2.044	NA	NA
hsa-miR-770-5p	3.241	3.449	3.847	2.21	3.567	NA	4.484	2.779	3.096	3.143	4.019	4.111	4.226	4.763	3.673	3.742	3.531	4.236	3.684	4.448	3.812	4.339	5.122	4.236	4.397	3.755	3.622	4.484
hsa-miR-93-5p	5.846	6.005	6.362	5.708	6.272	6.564	6.32	6.689	5.406	5.468	6.064	6.138	6.154	5.92	5.802	5.45	6.24	5.983	6.088	5.846	5.826	5.614	5.251	6.175	5.962	6.088	5.92	5.826
hsa-miR-4484	3.742	4.033	4.571	3.941	3.367	3.037	4.167	2.761	3.394	3.567	3.762	3.863	3.577	3.994	2.954	3.61	3.086	3.06	3.416	3.876	3.994	3.963	3.622	3.762	3.663	3.89	3.387	3.707
hsa-miR-4465	5.027	4.685	4.613	4.397	4.264	4.719	4.187	4.995	4.019	4.356	4.701	5.082	4.176	4.236	4.668	4.922	4.464	4.008	4.543	4.515	4.385	4.213	4.373	4.306	4.571	4.356	4.748	4.339
hsa-miR-193a-3p	5.251	6.02	6.223	4.64	6.041	5.846	6.24	5.826	5.027	5.802	6.203	6.02	6.175	6.362	6.339	5.773	6.466	6.498	5.92	6.443	6.498	6.339	5.577	6.32	6.339	6.32	6.414	6.24
hsa-miR-125a-5p	3.731	4.323	4.701	3.994	5.229	5.153	5.027	5.027	4.624	3.98	4.448	4.685	5.122	4.553	5.229	4.306	5.368	4.774	4.734	4.719	4.64	4.862	4.668	5.101	4.822	5.468	4.654	4.167
hsa-miR-4270	6.932	6.466	5.427	6.088	6.154	6.744	6.564	6.272	7.51	6.443	6.39	6.203	5.335	5.45	6.529	6.414	6.119	6.294	6.272	5.92	6.223	6.529	7.678	6.564	6.564	6.932	6.064	6.719
hsa-miR-3616-3p	2.359	2.505	3.542	2.999	2.669	NA	2.87	3.577	2.964	2.932	3.015	3.267	3.755	3.517	4.199	3.131	3.61	3.086	3.542	3.663	3.8	3.394	3.599	3.358	3.509	3.376	4.176	3.449
hsa-miR-34a-3p	NA	0.463	NA	NA	-0.264	2.087	2.484	1.337	NA	NA	1.543	NA	NA	NA	NA	NA	1.951	1.976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-4304	NA	NA	NA	0.563	0.965	NA	1.788	NA	NA	1.788	NA	NA	1.427	2.613	NA	1.337	NA	NA	NA	NA	NA	1.749	2.723	NA	2.164	NA	NA	2.914
hsa-miR-766-3p	0.726	-0.129	1.588	0.319	0.436	2.804	1.302	1.302	NA	-0.346	NA	0.829	1.142	NA	NA	NA	0.945	NA	3.22	NA	0.684	NA	NA	NA	NA	0.118	NA	NA
hsa-miR-940	6.32	6.154	5.962	6.466	5.724	5.773	5.746	5.708	4.862	5.962	6.154	5.846	5.101	5.387	5.291	6.529	6.005	6.119	5.826	5.708	5.492	5.826	6.633	5.041	5.557	5.577	5.708	5.251
hsa-miR-4634	7.55	6.064	5.539	6.564	5.406	4.922	4.98	4.515	4.763	5.514	5.368	5.427	4.41	4.79	4.96	5.514	4.41	5.062	5.335	5.269	6.39	5.773	4.995	5.051	4.13	5.136	4.98	4.571
hsa-miR-483-5p	4.806	4.79	4.774	4.922	4.734	4.277	4.719	4.448	6.443	4.719	4.748	4.654	4.774	4.942	4.79	4.763	4.527	4.719	4.892	4.763	4.748	4.64	4.822	4.79	4.748	4.833	4.892	5.041
hsa-miR-324-5p	3.394	4.059	4.373	3.205	4.176	4.734	4.306	4.199	3.742	3.577	4.153	4.41	3.994	4.153	3.89	3.721	4.42	4.141	4.323	4.434	3.928	3.684	2.834	4.385	3.957	4.099	4.119	4.073
hsa-miR-6127	7.221	7.483	7.55	8.017	8.017	7.889	7.221	7.315	7.889	7.889	7.111	7.182	7.773	7.851	7.851	7.139	7.413	7.51	7.734	7.51	7.623	7.851	7.734	7.221	7.281	7.281	7.929	7.929
hsa-miR-874	4.434	4.668	5.014	4.187	4.434	4.881	4.571	4.892	4.553	4.6	4.98	4.862	4.849	5.051	5.962	4.64	5.082	4.685	4.654	5.062	4.942	4.701	4.922	4.613	4.774	4.849	5.136	4.624
hsa-miR-3934-5p	2.723	2.624	2.999	2.654	2.583	NA	1.938	2.723	1.694	3.941	2.844	1.725	2.882	3.143	3.331	3.416	2.375	2.779	1.543	NA	2.882	3.06	NA	2.914	2.519	2.723	2.141	2.013
hsa-miR-4739	7.139	6.803	6.498	6.203	6.064	6.803	5.826	5.936	6.529	5.681	6.223	6.744	5.32	5.368	5.335	6.02	5.746	5.638	5.406	5.638	5.352	5.45	5.335	5.352	5.306	5.406	5.406	5.983
hsa-miR-3622b-5p	1.897	NA	NA	2.844	-0.519	NA	NA	NA	2.464	1.603	NA	NA	NA	NA	NA	1.023	NA	NA	1.645	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-1229-5p	7.254	6.223	5.153	7.182	5.335	5.051	5.514	4.501	5.868	4.668	5.514	5.746	4.96	4.98	5.051	5.269	4.213	5.306	5.962	5.217	5.594	5.663	5.269	5.153	4.111	5.269	5.217	5.122
hsa-miR-362-5p	1.29	2.654	2.669	-0.129	1.371	2.914	2.443	2.443	1.659	0.37	2.098	2.557	2.345	1.543	2.57	1.527	2.464	2.245	2.087	2.858	1.818	0.965	NA	2.126	2.21	2.164	2.505	1.976
hsa-miR-4497	5.983	5.557	5.826	5.468	5.577	5.594	5.427	5.746	5.082	5.427	5.335	5.724	5.387	5.514	5.614	5.492	5.514	5.45	5.638	5.45	5.708	5.406	5.406	5.492	5.594	5.614	6.02	5.773
hsa-miR-142-5p	0.411	3.673	3.241	0.649	4.119	3.554	4.892	3.254	3.025	2.013	2.613	3.788	4.719	3.531	NA	3.367	4.685	4.42	3.863	NA	NA	2.932	NA	3.876	3.577	3.309	3.119	1.994
hsa-miR-424-3p	4.111	1.603	NA	1.709	2.182	NA	1.709	NA	NA	3.331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.583	2.375	NA	NA	NA	NA	NA	NA
hsa-let-7d-5p	6.803	7.413	7.678	6.932	7.678	8.017	7.355	7.889	7.451	7.413	7.221	7.483	7.654	7.385	7.602	7.044	7.623	7.385	7.55	7.678	7.678	7.385	6.564	7.51	7.451	7.51	7.451	7.111
hsa-miR-4261	5.082	4.942	5.638	4.613	5.492	3.367	6.02	5.041	5.101	4.484	5.539	5.708	6.606	7.044	5.594	5.406	5.614	5.708	5.368	6.088	5.681	6.203	7.111	5.92	6.223	5.681	5.577	6.443
hsa-miR-320b	6.041	6.24	6.657	5.539	6.203	6.841	6.088	6.633	6.154	6.564	6.362	6.414	6.223	6.272	6.803	5.983	6.294	6.24	6.719	6.689	6.719	5.962	6.24	6.362	6.154	6.294	6.657	6.362
hsa-miR-19b-3p	8.243	8.528	8.597	7.413	8.243	8.309	8.478	8.439	7.623	8.648	8.816	8.597	8.716	8.932	8.057	8.679	8.766	8.932	8.557	8.766	8.897	9.012	8.648	8.858	8.858	9.012	9.056	8.932
hsa-miR-3652	3.29	3.143	2.505	3.762	2.905	3.649	2.068	3.22	3.195	3.812	2.964	2.393	2.87	2.697	3.187	3.649	2.804	2.905	2.484	2.683	3.086	2.964	3.649	2.245	2.505	2.505	2.638	2.484
hsa-miR-4284	11.132	11.905	11.905	12.29	12.29	11.563	12.29	12.29	11.333	11.905	12.29	11.563	12.29	12.29	12.29	12.821	12.29	12.29	11.563	12.29	12.29	12.29	11.333	12.29	12.29	12.29	12.29	11.905
hsa-miR-3656	5.868	5.514	5.306	6.841	4.763	5.32	5.45	5.014	5.681	4.613	5.681	5.32	4.862	4.96	5.387	5.387	4.892	5.041	5.45	5.196	5.217	4.942	5.557	4.942	4.942	5.368	5.306	6.005
hsa-miR-195-5p	6.657	7.574	7.929	6.902	8.478	7.773	7.55	7.773	7.602	7.55	7.55	7.355	8.163	7.623	7.961	7.182	7.889	7.483	7.773	7.704	7.773	8.127	7.483	7.851	8.017	8.163	7.961	7.281
hsa-miR-4633-5p	3.404	2.321	2.723	1.21	2.599	NA	2.976	NA	0.863	1.645	2.761	2.844	2.734	3.471	2.393	2.21	1.938	2.844	2.182	3.542	3.166	3.28	3.673	2.779	2.804	2.413	2.538	2.87
hsa-miR-146a-5p	4.543	5.014	4.862	5.122	4.892	5.406	5.638	5.773	3.952	4.153	4.668	5.539	5.868	5.041	4.922	4.356	5.868	5.101	4.906	4.187	4.42	4.849	3.847	5.176	5.291	4.942	4.763	4.515
hsa-miR-103a-3p	8.276	8.439	8.766	7.818	8.557	8.816	8.276	8.557	8.017	8.478	8.4	8.716	8.557	8.478	8.439	8.057	8.4	8.309	8.897	8.679	8.648	8.057	7.818	8.478	8.357	8.4	8.557	8.557
hsa-miR-505-3p	2.413	3.554	4.292	3.096	3.742	3.509	4.226	4.373	2.557	3.742	4.236	3.588	3.788	5.153	4.822	3.952	5.014	4.654	3.876	4.553	4.187	4.187	4.292	5.196	5.153	4.98	4.501	4.13
hsa-miR-4632-5p	2.964	2.464	NA	2.375	1.238	NA	NA	NA	0.997	0.297	NA	NA	NA	NA	NA	1.29	NA	NA	NA	NA	NA	0.407	NA	NA	NA	1.749	NA	NA
hsa-miR-155-5p	3.952	4.356	4.833	4.119	4.501	4.774	4.6	4.79	4.176	3.497	3.963	4.719	5.041	3.941	4.099	3.731	4.613	3.707	4.464	3.834	3.641	3.567	3.812	3.941	3.8	3.632	4.253	3.755
hsa-miR-1224-5p	3.903	4.111	3.788	4.033	3.917	4.153	3.697	3.599	4.373	3.61	3.684	3.812	3.394	3.777	3.567	4.111	3.404	3.684	3.755	3.755	3.941	4.141	4.045	3.994	3.641	4.045	3.707	4.264
hsa-miR-212-3p	4.748	4.464	4.748	4.553	4.701	2.287	5.539	4.099	4.141	3.762	4.849	5.051	5.514	5.773	4.277	4.654	4.397	5.122	4.448	5.614	4.96	5.176	5.868	5.217	5.406	4.668	4.264	5.406
hsa-miR-374b-5p	4.484	5.335	5.594	5.027	5.773	5.802	5.846	6.138	4.685	4.748	5.196	5.387	5.962	5.32	5.638	5.153	5.846	5.427	5.352	5.427	5.557	5.352	4.484	5.577	5.663	5.773	5.269	4.942
hsa-let-7f-5p	9.65	10.242	10.01	10.157	10.324	10.62	10.4	10.767	10.01	9.727	10.157	10.242	10.767	10.4	10.242	9.957	10.4	10.157	9.957	10.242	10.073	10.157	9.527	10.767	10.324	10.62	10.01	9.784
hsa-miR-6125	9.727	8.973	8.198	9.957	7.704	7.574	7.483	7.602	7.987	8.096	8.127	8.309	7.623	7.574	7.889	8.096	6.902	7.111	8.057	8.096	8.357	7.929	8.198	7.773	7.111	7.623	7.51	7.851
hsa-miR-3141	4.64	4.862	4.448	4.995	4.942	4.111	4.385	4.41	5.217	4.849	4.527	4.373	4.668	4.583	4.774	4.397	4.277	4.385	4.668	4.339	4.613	4.922	5.051	4.515	4.226	4.41	4.701	4.583
hsa-miR-1914-3p	4.42	4.527	4.484	4.448	4.685	5.196	3.917	4.167	5.229	4.96	4.253	4.264	4.515	4.527	4.624	4.033	4.264	4.264	4.42	4.323	4.527	4.719	4.434	4.045	4.084	4.033	4.668	4.527
hsa-miR-501-5p	NA	1.467	NA	-0.707	1.709	1.877	NA	1.023	NA	2.359	NA	NA	NA	1.737	NA	NA	1.448	NA	NA	NA	NA	0.411	NA	NA	NA	NA	1.85	1.497
hsa-miR-181b-5p	2.988	3.641	3.459	2.792	4.045	4.264	3.684	3.788	3.707	2.761	3.48	4.236	3.89	3.449	3.241	2.942	4.045	2.999	4.019	3.166	3.233	2.779	3.143	3.684	3.404	3.471	3.404	2.999
hsa-miR-665	4.624	3.345	3.707	3.394	2.484	NA	1.85	3.06	1.806	3.834	3.376	3.394	3.166	3.459	3.697	3.319	3.119	2.583	2.098	3.588	4.059	3.471	3.254	2.988	2.792	3.107	3.788	3.205
hsa-miR-29c-3p	8.648	8.897	8.973	8.163	9.056	9.056	9.212	8.973	8.816	9.212	8.897	9.091	9.727	8.973	8.973	8.973	9.434	9.48	9.13	9.091	9.012	9.434	9.091	9.091	9.784	9.13	9.48	9.012
hsa-miR-34b-5p	3.3	3.438	3.404	3.554	3.903	4.553	4.96	4.748	3.319	1.976	3.928	3.721	3.963	2.654	NA	3.187	3.8	3.963	2.858	NA	NA	2.804	NA	NA	NA	0.485	NA	NA
hsa-miR-1273c	1.337	NA	NA	2.734	0.459	NA	NA	1.187	0.601	4.922	NA	NA	2.164	NA	2.126	3.588	NA	NA	NA	NA	NA	1.32	NA	NA	NA	NA	NA	1.694
hsa-miR-486-5p	3.663	3.387	3.731	3.233	2.844	4.434	1.626	3.812	5.638	4.176	3.847	3.649	3.834	3.917	3.684	3.037	3.697	3.542	3.599	3.086	4.373	2.761	3.459	3.542	3.567	3.517	3.449	4.397
hsa-miR-6510-5p	3.994	3.89	3.086	4.084	3.941	3.459	2.858	2.905	5.335	4.045	2.988	2.087	3.471	2.375	2.245	4.019	NA	2.964	3.952	NA	3.497	3.166	NA	3.428	3.254	2.734	NA	4.111
hsa-miR-6509-5p	1.397	NA	NA	1.694	-0.67	NA	NA	NA	NA	-0.239	NA	NA	NA	NA	NA	0.829	NA	NA	2.538	NA	0.845	1.806	NA	NA	NA	0.337	NA	NA
hsa-miR-4787-3p	3.649	3.684	3.3	3.459	3.205	3.187	2.905	2.988	2.256	3.107	3.663	3.517	2.749	2.557	2.359	2.964	2.914	3.155	3.428	2.914	2.858	2.988	3.509	NA	2.098	2.613	3.177	2.894
hsa-miR-3663-3p	6.064	5.539	5.176	6.24	5.027	5.217	5.122	4.774	4.774	5.638	5.746	4.833	4.277	4.41	4.719	5.638	4.806	5.251	5.217	4.833	5.306	5.041	5.101	4.64	4.881	4.553	4.734	4.995
hsa-miR-4698	4.583	4.881	4.236	6.175	4.553	NA	3.309	3.358	3.577	4.213	4.501	4.045	4.685	3.577	3.928	4.862	3.29	3.834	4.176	3.847	4.236	4.176	3.98	3.731	3.61	3.29	3.567	4.98
hsa-miR-5100	10.495	10.495	10.936	10.073	10.767	10.157	11.905	10.073	10.324	10.936	11.563	11.333	11.333	11.905	10.936	11.563	11.563	11.905	10.767	11.905	11.333	11.563	13.701	11.905	11.905	11.905	10.767	11.563
hsa-miR-1202	8.932	8.648	7.818	9.056	7.654	6.498	8.096	7.044	9.012	7.987	8.276	8.439	7.734	8.096	7.451	8.528	7.221	7.929	8.478	8.4	8.243	8.478	8.679	7.818	7.818	7.818	7.773	8.127
hsa-miR-4271	5.773	5.663	4.98	5.101	4.96	4.448	5.014	4.98	5.041	5.176	6.041	5.306	4.6	4.6	4.862	5.663	4.995	4.995	5.041	5.229	4.98	5.051	5.936	4.701	4.906	5.122	4.906	4.892
hsa-miR-3130-3p	NA	1.142	1.897	-0.228	0.601	NA	NA	NA	NA	NA	NA	2.505	2.271	2.141	2.505	NA	NA	NA	NA	NA	0.965	1.615	NA	NA	NA	NA	NA	NA
hsa-miR-4657	0.863	1.09	2.345	1.497	2.375	NA	1.558	1.938	NA	0.43	1.938	1.659	2.413	3.205	3.358	NA	2.087	1.951	NA	NA	1.626	2.557	NA	2.013	2.141	1.709	2.697	2.164
hsa-miR-140-5p	4.236	4.734	4.892	4.008	4.543	5.539	5.269	5.269	4.64	4.434	5.014	5.014	5.594	4.701	4.073	4.553	5.122	5.014	4.685	5.306	5.051	4.434	4.167	5.269	5.136	5.229	4.685	4.833
hsa-miR-542-5p	NA	0.997	NA	NA	2.302	2.599	NA	2.031	0.829	0.425	1.737	NA	1.558	1.157	NA	1.397	2.098	1.694	NA	NA	1.615	0.617	NA	NA	NA	1.32	2.345	NA
hsa-let-7i-5p	7.929	8.017	7.987	7.385	7.889	8.716	7.851	8.4	8.4	7.734	7.987	8.648	8.198	7.773	7.385	7.654	7.929	7.704	8.198	7.961	8.057	7.483	7.254	7.734	7.678	7.704	7.602	7.602
hsa-miR-192-3p	2.624	3.917	4.277	3.345	3.952	4.385	4.527	4.734	2.905	4.033	4.42	3.762	4.385	4.397	4.571	3.697	5.041	4.734	3.641	4.806	4.763	4.42	3.309	4.822	4.922	4.583	4.64	4.306
hsa-miR-3917	2.669	2.359	NA	2.804	1.951	NA	2.464	NA	2.443	0.343	1.448	NA	NA	NA	NA	2.413	NA	NA	1.512	NA	1.187	1.914	2.638	NA	NA	2.583	NA	2.834
hsa-miR-4281	9.434	9.056	8.439	9.329	8.198	8.127	8.557	7.929	9.434	8.597	8.858	8.679	7.574	7.602	8.243	8.648	7.851	8.439	8.648	8.198	8.163	8.096	9.056	8.057	7.929	7.929	8.163	8.309
hsa-miR-4784	NA	0.863	NA	1.337	1.994	NA	NA	NA	NA	2.068	NA	NA	NA	2.271	NA	NA	2.519	NA	NA	NA	NA	2.044	NA	NA	NA	0.77	NA	NA
hsa-miR-4463	4.571	4.42	4.13	3.812	3.812	4.397	4.111	4.13	4.448	4.41	4.922	4.199	3.941	3.952	4.045	4.822	4.059	4.306	4.277	4.397	4.167	4.073	4.881	4.059	4.176	4.073	4.515	4.236
hsa-miR-144-3p	0.881	0.343	NA	NA	1.302	NA	3.577	2.624	3.509	1.709	3.025	3.48	2.583	4.226	NA	4.073	3.449	4.119	NA	NA	3.319	2.894	3.531	3.788	4.42	3.404	NA	3.119
hsa-miR-424-5p	5.891	6.203	6.138	5.514	7.139	7.003	6.529	7.451	5.936	5.041	6.498	6.657	7.182	6.529	6.39	6.564	6.803	6.803	6.175	6.774	7.003	6.865	6.32	6.606	6.902	7.182	6.39	5.891
hsa-miR-150-5p	5.468	7.315	7.355	5.427	7.451	7.221	6.466	6.529	7.704	5.846	5.577	7.077	7.077	6.154	6.294	5.681	7.574	6.414	7.111	5.983	5.387	5.92	4.98	6.414	5.614	6.119	6.689	4.849
hsa-miR-502-3p	NA	0.726	1.994	-0.567	0.337	2.505	1.543	1.85	1.023	NA	NA	1.626	NA	0.617	NA	NA	NA	NA	NA	2.723	NA	NA	NA	NA	NA	0.982	NA	NA
hsa-miR-4486	1.626	1.737	NA	3.48	0.617	NA	NA	NA	1.187	1.527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.994	1.05	NA	NA	NA	NA	NA	NA
hsa-miR-3156-5p	4.292	4.719	4.822	5.387	5.387	4.033	4.397	4.397	4.734	4.98	4.6	4.543	5.229	5.352	5.122	4.059	4.849	4.748	4.833	4.583	4.668	5.196	4.906	4.339	4.448	4.264	5.122	5.027
hsa-miR-140-3p	4.199	4.96	5.122	4.356	5.352	5.368	5.335	5.514	4.668	4.571	4.806	4.849	5.663	5.136	5.251	4.571	5.638	5.082	4.922	5.027	5.062	4.98	4.583	5.45	5.041	5.45	5.101	4.613
hsa-miR-199a-5p	6.529	7.55	7.139	7.003	8.897	7.987	7.987	7.654	8.243	7.281	7.623	7.51	7.987	7.987	7.929	7.929	8.163	7.602	7.315	7.55	7.818	8.243	7.889	7.987	7.851	8.276	7.574	7.044
hsa-miR-487b	4.339	5.101	5.773	3.131	5.251	4.13	5.724	4.719	4.571	4.701	5.614	5.773	5.773	6.294	5.45	4.98	5.291	5.614	5.153	6.041	5.514	5.802	6.902	5.802	5.868	5.352	5.062	5.802
hsa-miR-564	5.681	4.892	5.269	5.983	4.922	3.777	4.763	5.176	4.583	4.906	4.822	5.176	5.539	5.291	5.891	4.995	5.217	4.849	5.051	5.291	5.577	5.306	5.196	5.251	5.196	5.062	5.773	5.014
hsa-miR-642b-3p	4.942	4.806	4.339	4.264	4.373	4.515	4.045	4.253	6.466	4.995	4.397	4.339	4.141	3.707	3.98	5.176	3.903	3.812	4.339	3.928	4.176	3.834	3.8	4.226	4.484	3.917	4.073	4.701
hsa-miR-99b-3p	2.804	3.037	3.742	3.663	2.654	NA	2.734	3.697	3.309	2.712	3.205	3.404	3.928	3.684	3.876	3.119	3.015	2.823	3.06	3.599	3.632	3.509	3.697	3.367	3.517	3.195	4.13	3.577
hsa-miR-376c-3p	3.917	4.448	4.668	3.641	5.014	5.251	4.774	4.849	3.697	3.963	4.685	5.041	4.543	4.685	4.833	4.236	5.468	4.806	4.624	4.98	5.153	4.892	4.64	4.96	5.352	5.32	4.922	4.448
hsa-miR-22-3p	9.594	10.01	10.157	9.253	9.434	9.784	9.727	9.727	9.056	9.594	9.957	10.073	8.973	9.527	9.727	9.329	9.527	9.65	9.727	10.157	9.957	9.527	9.434	9.727	9.65	9.527	10.157	9.727
hsa-miR-4745-5p	3.367	3.367	3.416	3.254	3.177	3.416	3.588	3.096	3.941	3.195	3.649	3.531	3.367	3.438	2.894	3.542	3.358	3.517	3.096	3.28	2.999	2.942	4.084	3.29	3.825	3.267	3.663	4.033
hsa-miR-211-3p	6.865	6.175	6.24	5.936	5.746	4.356	6.744	5.468	5.468	6.064	6.657	6.529	6.138	6.902	5.826	6.294	5.92	6.657	6.02	7.044	6.657	6.606	7.385	6.657	6.606	6.466	6.32	6.841
hsa-miR-3176	NA	0.845	NA	-0.277	1.09	NA	1.497	NA	NA	NA	NA	NA	2.302	2.098	NA	NA	1.994	1.725	1.626	NA	NA	1.788	NA	NA	NA	1.21	2.413	NA
hsa-miR-214-3p	5.101	5.594	5.724	5.251	7.221	6.272	6.294	6.154	6.39	5.406	5.846	6.041	6.119	6.088	6.744	5.468	6.272	5.868	5.891	5.724	5.936	6.362	6.088	5.846	5.92	6.24	5.962	5.196
hsa-miR-5581-5p	3.928	4.484	4.501	3.847	4.822	4.685	4.033	4.236	4.073	5.122	4.356	4.119	4.583	4.833	4.613	3.863	4.448	4.41	4.527	4.373	4.41	4.734	4.385	4.019	4.045	4.111	4.624	4.323
hsa-miR-337-5p	NA	NA	NA	NA	0.157	2.164	1.527	1.371	NA	NA	NA	1.85	NA	NA	NA	NA	2.197	NA	NA	NA	0.881	NA	NA	NA	NA	1.023	NA	NA
