	US10063773_254606410403_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606411109_S01_miRNA_107_Sep09_2_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_2 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_2 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410404_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_1 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_1_4 - 2	US10063773_254606410405_S01_miRNA_107_Sep09_2_3 - 2	US10063773_254606410413_S01_miRNA_107_Sep09_1_3 - 2	US10063773_254606410403_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410403_S01_miRNA_107_Sep09_2_3 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410404_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_1 - 1	US10063773_254606410405_S01_miRNA_107_Sep09_2_4 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_2 - 1	US10063773_254606410413_S01_miRNA_107_Sep09_1_4 - 1
hsa-miR-23a-5p	NA	-0.419	NA	0.157	1.337	NA	NA	NA	0.552	1.543	NA	NA	1.157	1.09	NA	NA	NA	1.749	NA	NA	1.512	1.694	NA	0.863	NA	0.163	NA	1.512
hsa-miR-136-5p	NA	NA	NA	NA	0.411	NA	2.141	NA	NA	NA	NA	1.588	1.749	1.142	NA	NA	2.345	2.271	NA	NA	1.09	1.142	2.779	1.788	2.723	1.09	NA	NA
hsa-miR-378i	5.45	5.614	6.203	5.306	6.24	6.414	6.443	6.498	5.153	5.92	6.902	6.005	6.24	7.254	7.413	6.005	7.51	7.221	5.614	6.633	6.968	7.254	6.606	6.803	7.483	7.315	7.182	6.932
hsa-miR-98-5p	2.287	2.988	3.376	2.683	3.762	4.501	4.073	4.434	3.119	2.443	3.517	3.61	4.073	3.89	3.416	3.177	4.253	3.632	3.233	3.649	3.394	3.29	3.107	4.277	3.755	4.153	3.29	3.073
hsa-miR-320a	5.614	5.802	6.088	5.594	5.826	6.223	5.708	6.088	5.724	5.724	5.868	5.936	5.891	5.983	6.414	5.427	6.064	5.724	6.154	6.203	6.203	5.708	5.826	5.868	5.681	6.154	6.005	5.846
hsa-miR-4743-5p	3.428	2.519	NA	3.497	2.464	NA	NA	1.788	2.393	3.096	NA	NA	2.624	1.749	NA	2.932	NA	NA	NA	NA	2.804	2.287	NA	1.427	NA	1.864	NA	NA
hsa-let-7a-5p	10.4	10.62	11.132	10.62	11.563	11.132	10.767	11.132	10.62	11.132	10.936	10.936	10.936	11.132	11.333	10.936	11.132	10.767	10.936	11.132	11.132	11.132	10.242	11.132	10.936	11.132	11.333	10.936
hsa-miR-1260a	9.13	9.212	9.527	7.451	9.374	7.483	10.62	9.169	8.973	8.973	9.727	9.594	9.329	10.157	9.374	9.594	9.727	10.495	9.527	10.324	9.056	9.784	11.132	9.957	10.495	9.48	8.816	10.073
hsa-miR-106b-5p	6.272	6.564	6.803	5.724	6.744	7.139	7.003	6.932	6.088	6.362	6.564	6.774	6.744	6.466	5.846	6.138	6.498	6.529	6.744	6.466	6.606	6.24	5.594	6.529	6.414	6.443	6.443	6.466
hsa-miR-30a-5p	6.689	7.51	7.574	6.606	7.483	7.734	7.678	7.413	7.139	7.385	7.889	7.451	7.254	7.734	7.51	7.385	7.704	7.734	7.451	7.254	7.413	7.704	7.139	7.623	7.355	7.574	7.851	7.55
