"","miRNA","mRNA","pearson-cor","p-value"
"80","hsa-miR-215","128","0.725532480144029","0.0269345356602268"
"81","hsa-miR-215","130","-0.0122072590328946","0.975134664084496"
"82","hsa-miR-215","132","0.367288189681402","0.330857862238778"
"83","hsa-miR-215","133","0.111961861520936","0.774282392506888"
"84","hsa-miR-215","134","-0.690137655929884","0.0396289223094023"
"85","hsa-miR-215","135","0.406428190210396","0.277701350530002"
"86","hsa-miR-215","136","-0.410251386465313","0.272765004525292"
"87","hsa-miR-215","140","0.366236397625054","0.332351032447122"
"88","hsa-miR-215","141","-0.115507341045725","0.767290934680846"
"89","hsa-miR-215","142","0.157736645269476","0.685249813640358"
"90","hsa-miR-215","143","0.34093663210015","0.369257276674071"
"91","hsa-miR-215","146","0.536178449122578","0.136729797453225"
"92","hsa-miR-215","147","0.0710682180731334","0.855828992541697"
"93","hsa-miR-215","148","0.280187913549195","0.465241056159292"
"94","hsa-miR-215","150","-0.462365681945785","0.21015833482513"
"95","hsa-miR-215","151","0.639696983176543","0.063547780249284"
"96","hsa-miR-215","152","-0.112570854820761","0.773080484348354"
"97","hsa-miR-215","153","0.750276859325666","0.019870804878216"
"98","hsa-miR-215","154","-0.16269292854172","0.67578851677386"
"99","hsa-miR-215","155","0.399490422207932","0.286776843349701"
"100","hsa-miR-215","156","-0.489850682270714","0.180713121984212"
"101","hsa-miR-215","157","0.321735364613858","0.398503880119233"
"102","hsa-miR-215","158","0.506067602220832","0.164510111655854"
"103","hsa-miR-215","159","0.389238391196365","0.300463714247431"
"104","hsa-miR-215","160","-0.185492794201831","0.632785135683392"
"105","hsa-miR-215","161","0.696040043436715","0.0372884709577574"
"106","hsa-miR-215","162","0.301833112256814","0.429899785706846"
"107","hsa-miR-215","163","0.252580013696554","0.512024458212458"
"108","hsa-miR-215","164","-0.0132160361219301","0.973080430782499"
"109","hsa-miR-215","165","-0.52564912911486","0.146104152751713"
"110","hsa-miR-215","166","0.552259210280786","0.12311508467372"
"111","hsa-miR-215","172","-0.209968131080111","0.587661118742054"
"112","hsa-miR-215","173","0.277770071107609","0.469263462991459"
"113","hsa-miR-215","174","-0.0777842552276224","0.842336000720357"
"114","hsa-miR-215","175","0.367200782808043","0.330981822072039"
"115","hsa-miR-215","176","0.693990101201002","0.0380908931008082"
"116","hsa-miR-215","177","0.0795207817914303","0.838852837706213"
"117","hsa-miR-215","178","0.631229675715581","0.0682819272946736"
"118","hsa-miR-215","181","0.379468870846186","0.313809507604617"
"119","hsa-miR-215","182","-0.304005456867079","0.426420741514212"
"120","hsa-miR-215","183","0.51328603963596","0.157577615122115"
"121","hsa-miR-215","185","-0.0331974487465259","0.932432792164012"
"122","hsa-miR-215","187","0.45444287232414","0.219107669678588"
"123","hsa-miR-215","189","0.424514740830301","0.254758913095204"
"124","hsa-miR-215","191","0.830681340884377","0.00554958624614833"
